Time	Channel A
(us)	(mV)

0.00000000	0.00000000
0.04000000	0.00000000
0.08000000	0.00000000
0.12000000	0.00000000
0.16000000	0.00000000
0.20000000	0.00000000
0.24000000	0.00000000
0.28000000	-1.79448800
0.32000000	-1.79448800
0.36000000	-1.79448800
0.40000000	0.00000000
0.44000000	-1.79448800
0.48000000	-1.79448800
0.52000000	0.00000000
0.56000000	-1.79448800
0.60000000	-1.79448800
0.64000000	-1.79448800
0.68000000	-3.58897700
0.72000000	-5.38956800
0.76000000	-3.58897700
0.80000000	-1.79448800
0.83999999	-3.58897700
0.87999999	-5.38956800
0.91999999	-5.38956800
0.95999999	-5.38956800
0.99999999	-5.38956800
1.03999999	-5.38956800
1.07999999	-5.38956800
1.11999999	-5.38956800
1.15999999	-3.58897700
1.19999999	-5.38956800
1.23999999	-5.38956800
1.27999999	-5.38956800
1.31999999	-5.38956800
1.35999999	-5.38956800
1.39999999	-3.58897700
1.43999999	-3.58897700
1.47999999	-3.58897700
1.51999999	-3.58897700
1.55999999	-3.58897700
1.59999999	-3.58897700
1.63999999	-1.79448800
1.67999999	-3.58897700
1.71999999	-3.58897700
1.75999999	-3.58897700
1.79999999	-1.79448800
1.83999999	-3.58897700
1.87999999	-3.58897700
1.91999999	-1.79448800
1.95999999	-1.79448800
1.99999999	-1.79448800
2.03999999	-1.79448800
2.07999999	-1.79448800
2.11999999	-1.79448800
2.15999999	-1.79448800
2.19999999	-1.79448800
2.23999999	0.00000000
2.27999999	0.00000000
2.31999999	0.00000000
2.35999999	0.00000000
2.39999999	0.00000000
2.43999999	0.00000000
2.47999998	0.00000000
2.51999998	0.00000000
2.55999998	0.00000000
2.59999998	-8.98464900
2.63999998	0.00000000
2.67999998	5.38956800
2.71999998	1.79448800
2.75999998	-3.58897700
2.79999998	-1.79448800
2.83999998	0.00000000
2.87999998	0.00000000
2.91999998	-1.79448800
2.95999998	-1.79448800
2.99999998	0.00000000
3.03999998	-1.79448800
3.07999998	-1.79448800
3.11999998	-1.79448800
3.15999998	-1.79448800
3.19999998	-1.79448800
3.23999998	-1.79448800
3.27999998	-1.79448800
3.31999998	-1.79448800
3.35999998	-1.79448800
3.39999998	-3.58897700
3.43999998	-1.79448800
3.47999998	-1.79448800
3.51999998	-3.58897700
3.55999998	-3.58897700
3.59999998	-3.58897700
3.63999998	-3.58897700
3.67999998	-3.58897700
3.71999998	-3.58897700
3.75999998	-3.58897700
3.79999998	-3.58897700
3.83999998	-3.58897700
3.87999998	-3.58897700
3.91999998	-3.58897700
3.95999998	-3.58897700
3.99999998	-3.58897700
4.03999998	-3.58897700
4.07999998	-3.58897700
4.11999997	-3.58897700
4.15999997	-3.58897700
4.19999997	-3.58897700
4.23999997	-3.58897700
4.27999997	-3.58897700
4.31999997	-3.58897700
4.35999997	-1.79448800
4.39999997	-3.58897700
4.43999997	-1.79448800
4.47999997	-1.79448800
4.51999997	-1.79448800
4.55999997	-1.79448800
4.59999997	-3.58897700
4.63999997	-1.79448800
4.67999997	-1.79448800
4.71999997	-1.79448800
4.75999997	-1.79448800
4.79999997	-1.79448800
4.83999997	0.00000000
4.87999997	-1.79448800
4.91999997	-1.79448800
4.95999997	0.00000000
4.99999997	0.00000000
5.03999997	0.00000000
5.07999997	0.00000000
5.11999997	0.00000000
5.15999997	0.00000000
5.19999997	0.00000000
5.23999997	0.00000000
5.27999997	0.00000000
5.31999997	0.00000000
5.35999997	0.00000000
5.39999997	0.00000000
5.43999997	0.00000000
5.47999997	0.00000000
5.51999997	0.00000000
5.55999997	-1.79448800
5.59999997	-1.79448800
5.63999997	0.00000000
5.67999997	0.00000000
5.71999997	-1.79448800
5.75999996	-1.79448800
5.79999996	-1.79448800
5.83999996	0.00000000
5.87999996	-1.79448800
5.91999996	-3.58897700
5.95999996	-1.79448800
5.99999996	-1.79448800
6.03999996	-1.79448800
6.07999996	-1.79448800
6.11999996	-1.79448800
6.15999996	-1.79448800
6.19999996	-1.79448800
6.23999996	-1.79448800
6.27999996	-3.58897700
6.31999996	-3.58897700
6.35999996	-1.79448800
6.39999996	-3.58897700
6.43999996	-1.79448800
6.47999996	-3.58897700
6.51999996	-3.58897700
6.55999996	-1.79448800
6.59999996	-3.58897700
6.63999996	-3.58897700
6.67999996	-3.58897700
6.71999996	-1.79448800
6.75999996	-3.58897700
6.79999996	-3.58897700
6.83999996	-3.58897700
6.87999996	-3.58897700
6.91999996	-1.79448800
6.95999996	-1.79448800
6.99999996	-3.58897700
7.03999996	-3.58897700
7.07999996	-3.58897700
7.11999996	-1.79448800
7.15999996	-1.79448800
7.19999996	-1.79448800
7.23999996	-1.79448800
7.27999996	-1.79448800
7.31999996	-1.79448800
7.35999996	-1.79448800
7.39999996	-1.79448800
7.43999995	-1.79448800
7.47999995	-7.18405700
7.51999995	-1.79448800
7.55999995	0.00000000
7.59999995	1.79448800
7.63999995	-1.79448800
7.67999995	-1.79448800
7.71999995	-1.79448800
7.75999995	0.00000000
7.79999995	0.00000000
7.83999995	0.00000000
7.87999995	0.00000000
7.91999995	0.00000000
7.95999995	0.00000000
7.99999995	0.00000000
8.03999995	-1.79448800
8.07999995	-1.79448800
8.11999995	-1.79448800
8.15999995	0.00000000
8.19999995	0.00000000
8.23999995	0.00000000
8.27999995	-1.79448800
8.31999995	-1.79448800
8.35999995	0.00000000
8.39999995	-1.79448800
8.43999995	-1.79448800
8.47999995	-1.79448800
8.51999995	-1.79448800
8.55999995	-1.79448800
8.59999995	-1.79448800
8.63999995	-1.79448800
8.67999995	-1.79448800
8.71999995	-1.79448800
8.75999995	-1.79448800
8.79999995	-1.79448800
8.83999995	-1.79448800
8.87999995	-1.79448800
8.91999995	-1.79448800
8.95999995	-1.79448800
8.99999995	-1.79448800
9.03999995	-1.79448800
9.07999994	-1.79448800
9.11999994	-1.79448800
9.15999994	-1.79448800
9.19999994	-1.79448800
9.23999994	-3.58897700
9.27999994	-1.79448800
9.31999994	-3.58897700
9.35999994	-1.79448800
9.39999994	-3.58897700
9.43999994	-1.79448800
9.47999994	-1.79448800
9.51999994	-1.79448800
9.55999994	-1.79448800
9.59999994	-1.79448800
9.63999994	-1.79448800
9.67999994	-1.79448800
9.71999994	-1.79448800
9.75999994	-1.79448800
9.79999994	-1.79448800
9.83999994	-1.79448800
9.87999994	-1.79448800
9.91999994	-1.79448800
9.95999994	-1.79448800
9.99999994	-1.79448800
10.03999994	-1.79448800
10.07999994	-1.79448800
10.11999994	-1.79448800
10.15999994	-1.79448800
10.19999994	-1.79448800
10.23999994	0.00000000
10.27999994	0.00000000
10.31999994	0.00000000
10.35999994	0.00000000
10.39999994	0.00000000
10.43999994	0.00000000
10.47999994	0.00000000
10.51999994	-1.79448800
10.55999994	-1.79448800
10.59999994	0.00000000
10.63999994	0.00000000
10.67999994	0.00000000
10.71999993	0.00000000
10.75999993	-1.79448800
10.79999993	0.00000000
10.83999993	0.00000000
10.87999993	-1.79448800
10.91999993	0.00000000
10.95999993	-1.79448800
10.99999993	0.00000000
11.03999993	0.00000000
11.07999993	0.00000000
11.11999993	-1.79448800
11.15999993	-1.79448800
11.19999993	-1.79448800
11.23999993	0.00000000
11.27999993	0.00000000
11.31999993	-1.79448800
11.35999993	-1.79448800
11.39999993	-1.79448800
11.43999993	-1.79448800
11.47999993	-1.79448800
11.51999993	-1.79448800
11.55999993	-1.79448800
11.59999993	-1.79448800
11.63999993	-1.79448800
11.67999993	-1.79448800
11.71999993	-1.79448800
11.75999993	-1.79448800
11.79999993	-1.79448800
11.83999993	-1.79448800
11.87999993	-1.79448800
11.91999993	-3.58897700
11.95999993	-1.79448800
11.99999993	-3.58897700
12.03999993	-1.79448800
12.07999993	-1.79448800
12.11999993	-1.79448800
12.15999993	-1.79448800
12.19999993	-1.79448800
12.23999993	-1.79448800
12.27999993	-1.79448800
12.31999993	-1.79448800
12.35999992	-1.79448800
12.39999992	0.00000000
12.43999992	-10.77914000
12.47999992	-1.79448800
12.51999992	3.58897700
12.55999992	1.79448800
12.59999992	-3.58897700
12.63999992	-3.58897700
12.67999992	-1.79448800
12.71999992	0.00000000
12.75999992	-1.79448800
12.79999992	0.00000000
12.83999992	7.18405700
12.87999992	25.15336000
12.91999992	32.34352000
12.95999992	17.96930000
12.99999992	-3.58897700
13.03999992	-5.38956800
13.07999992	-7.18405700
13.11999992	-28.74844000
13.15999992	-46.71774000
13.19999992	-46.71774000
13.23999992	-32.34352000
13.27999992	-12.57363000
13.31999992	-1.79448800
13.35999992	0.00000000
13.39999992	3.58897700
13.43999992	17.96930000
13.47999992	23.35887000
13.51999992	14.37422000
13.55999992	1.79448800
13.59999992	3.58897700
13.63999992	8.98464900
13.67999992	10.77914000
13.71999992	5.38956800
13.75999992	1.79448800
13.79999992	3.58897700
13.83999992	5.38956800
13.87999992	5.38956800
13.91999992	3.58897700
13.95999992	0.00000000
13.99999991	-3.58897700
14.03999991	-5.38956800
14.07999991	-7.18405700
14.11999991	-12.57363000
14.15999991	-14.37422000
14.19999991	-16.16870000
14.23999991	-14.37422000
14.27999991	-8.98464900
14.31999991	-5.38956800
14.35999991	-1.79448800
14.39999991	1.79448800
14.43999991	7.18405700
14.47999991	8.98464900
14.51999991	7.18405700
14.55999991	3.58897700
14.59999991	0.00000000
14.63999991	0.00000000
14.67999991	-1.79448800
14.71999991	-3.58897700
14.75999991	-5.38956800
14.79999991	-3.58897700
14.83999991	-1.79448800
14.87999991	0.00000000
14.91999991	-1.79448800
14.95999991	-1.79448800
14.99999991	-5.38956800
15.03999991	-7.18405700
15.07999991	-7.18405700
15.11999991	-8.98464900
15.15999991	-8.98464900
15.19999991	-7.18405700
15.23999991	-5.38956800
15.27999991	-1.79448800
15.31999991	0.00000000
15.35999991	1.79448800
15.39999991	3.58897700
15.43999991	3.58897700
15.47999991	3.58897700
15.51999991	1.79448800
15.55999991	1.79448800
15.59999991	0.00000000
15.63999990	0.00000000
15.67999990	0.00000000
15.71999990	0.00000000
15.75999990	-1.79448800
15.79999990	-1.79448800
15.83999990	-3.58897700
15.87999990	-5.38956800
15.91999990	-7.18405700
15.95999990	-7.18405700
15.99999990	-1.79448800
16.03999990	10.77914000
16.07999990	30.54292000
16.11999990	57.50298000
16.15999990	88.04590000
16.19999990	118.59490000
16.23999990	150.94450000
16.27999990	172.50890000
16.31999990	158.12860000
16.35999990	120.39550000
16.39999990	91.64098000
16.43999990	68.28211000
16.47999990	55.70238000
16.51999990	37.73308000
16.55999990	26.95395000
16.59999990	7.18405700
16.63999990	-12.57363000
16.67999990	-37.73308000
16.71999990	-57.50298000
16.75999990	-73.67168000
16.79999990	-98.83114000
16.83999990	-122.19000000
16.87999990	-116.80040000
16.91999990	-93.44157000
16.95999990	-48.51222000
16.99999990	-61.09195000
17.03999990	-66.48762000
17.07999990	-71.87719000
17.11999990	-59.29746000
17.15999990	-68.28211000
17.19999990	-59.29746000
17.23999990	-53.90789000
17.27999989	-44.92325000
17.31999989	-50.31281000
17.35999989	-44.92325000
17.39999989	-41.32816000
17.43999989	-41.32816000
17.47999989	-50.31281000
17.51999989	-46.71774000
17.55999989	-37.73308000
17.59999989	-34.13800000
17.63999989	-28.74844000
17.67999989	-23.35887000
17.71999989	-16.16870000
17.75999989	-14.37422000
17.79999989	-14.37422000
17.83999989	-14.37422000
17.87999989	-7.18405700
17.91999989	-3.58897700
17.95999989	14.37422000
17.99999989	35.93859000
18.03999989	61.09195000
18.07999989	86.25141000
18.11999989	115.00600000
18.15999989	136.56420000
18.19999989	136.56420000
18.23999989	129.38020000
18.27999989	118.59490000
18.31999989	109.61030000
18.35999989	104.22070000
18.39999989	91.64098000
18.43999989	86.25141000
18.47999989	80.86184000
18.51999989	75.47227000
18.55999989	71.87719000
18.59999989	77.26676000
18.63999989	79.06125000
18.67999989	84.45692000
18.71999989	86.25141000
18.75999989	84.45692000
18.79999989	79.06125000
18.83999989	70.07660000
18.87999989	57.50298000
18.91999989	46.71774000
18.95999988	35.93859000
18.99999988	16.16870000
19.03999988	-7.18405700
19.07999988	-35.93859000
19.11999988	-66.48762000
19.15999988	-100.62560000
19.19999988	-138.36480000
19.23999988	-111.41090000
19.27999988	-93.44157000
19.31999988	-46.71774000
19.35999988	-50.31281000
19.39999988	-44.92325000
19.43999988	-43.12265000
19.47999988	-30.54292000
19.51999988	-35.93859000
19.55999988	-32.34352000
19.59999988	-26.95395000
19.63999988	-28.74844000
19.67999988	-41.32816000
19.71999988	-50.31281000
19.75999988	-61.09195000
19.79999988	-66.48762000
19.83999988	-66.48762000
19.87999988	-52.10730000
19.91999988	-35.93859000
19.95999988	-26.95395000
19.99999988	-16.16870000
20.03999988	-1.79448800
20.07999988	3.58897700
20.11999988	10.77914000
20.15999988	17.96930000
20.19999988	32.34352000
20.23999988	37.73308000
20.27999988	41.32816000
20.31999988	43.12265000
20.35999988	48.51222000
20.39999988	57.50298000
20.43999988	73.67168000
20.47999988	97.03055000
20.51999988	113.20540000
20.55999988	125.78510000
20.59999987	118.59490000
20.63999987	106.01520000
20.67999987	97.03055000
20.71999987	91.64098000
